num_training_examples,num_features,error,log_loss,training_time_seconds
256,256,0.2369,0.826977,0.067922
256,512,0.225,0.769109,0.066042
256,1024,0.2201,0.767325,0.062666
256,2048,0.2177,0.74178,0.076969
256,4096,0.2151,0.747983,0.08685
256,8192,0.2144,0.762269,0.195602
256,16384,0.214,0.742529,0.188003
512,256,0.2177,0.710286,0.077031
512,512,0.208,0.68185,0.127934
512,1024,0.2074,0.673241,0.120733
512,2048,0.1987,0.652328,0.343119
512,4096,0.197,0.64915,0.291993
512,8192,0.1933,0.654545,0.175071
512,16384,0.1936,0.644816,0.364244
1024,256,0.1973,0.655277,0.108777
1024,512,0.193,0.629656,0.169324
1024,1024,0.1864,0.617039,0.37759
1024,2048,0.1844,0.60392,0.42663
1024,4096,0.1803,0.58888,0.54198
1024,8192,0.1826,0.594029,0.589771
1024,16384,0.1768,0.581576,1.160458
2048,256,0.1788,0.589312,0.134892
2048,512,0.1741,0.572446,0.217128
2048,1024,0.1696,0.550138,0.50973
2048,2048,0.1608,0.523187,2.561228
2048,4096,0.1592,0.514018,2.738607
2048,8192,0.1561,0.502195,3.649732
2048,16384,0.1535,0.492714,4.847406
4096,256,0.1738,0.550097,0.387869
4096,512,0.1609,0.516979,0.351435
4096,1024,0.1521,0.489915,0.570629
4096,2048,0.1476,0.465062,2.873944
4096,4096,0.1417,0.450752,21.30673
4096,8192,0.1397,0.439607,17.843797
4096,16384,0.1351,0.428422,26.694993
8192,256,0.171,0.536089,0.484802
8192,512,0.1558,0.484981,0.713995
8192,1024,0.1396,0.45043,1.323638
8192,2048,0.1333,0.422852,3.696245
8192,4096,0.1257,0.401015,22.387335
8192,8192,0.1243,0.392855,198.074377
8192,16384,0.119,0.383489,192.47052
16384,256,0.1687,0.530189,0.893955
16384,512,0.1518,0.470686,1.312931
16384,1024,0.1352,0.425632,2.712434
16384,2048,0.124,0.389965,6.943087
16384,4096,0.1158,0.370675,28.234946
16384,8192,0.1123,0.358283,182.685008
16384,16384,0.108,0.349374,988.176195
32768,256,0.168,0.527057,1.950737
32768,512,0.1479,0.466754,2.270566
32768,1024,0.1338,0.416168,6.076438
32768,2048,0.1197,0.374181,11.013833
32768,4096,0.1078,0.343728,40.086017
32768,8192,0.1036,0.331681,184.623473
32768,16384,0.0977,0.322852,1091.054928
60000,256,0.167,0.526378,3.38853
60000,512,0.1481,0.463477,6.963292
60000,1024,0.1312,0.410192,8.427304
60000,2048,0.1184,0.366561,18.011715
60000,4096,0.106,0.33063,47.622984
60000,8192,0.0971,0.311029,238.004501
60000,16384,0.0926,0.298482,1252.918418
