suite,dataset,error,log_loss,training_time_seconds
99,3,0.055067,0.151752,0.096795
99,6,0.445,1.502418,2.360477
99,11,0.1216,0.281402,0.053802
99,12,0.021,0.089852,0.120799
99,14,0.2195,0.65568,0.084821
99,15,0.03148,0.100631,0.049183
99,16,0.074,0.252451,0.150059
99,18,0.386,1.013852,0.095749
99,22,0.2,0.49089,0.130348
99,23,0.492139,0.972272,0.047061
99,28,0.064057,0.211045,0.234957
99,29,0.131884,0.346574,0.056917
99,31,0.242,0.497057,0.030883
99,32,0.134552,0.463044,0.356811
99,37,0.234309,0.485139,0.065547
99,43,0.091719,0.285058,0.083589
99,45,0.082132,0.227275,0.133968
99,49,0.016688,0.068374,0.042192
99,53,0.236457,0.557945,0.067702
99,219,0.264301,0.528055,0.656221
99,2074,0.225816,0.583155,0.236158
99,2079,0.442931,1.064964,0.069411
99,3021,0.046924,0.220682,0.092197
99,3022,0.576768,1.464563,0.063837
99,3481,0.073232,0.26029,0.660767
99,3549,0.004762,0.009603,0.087025
99,3560,0.782893,1.765277,0.029677
99,3573,0.146729,0.500628,5.27849
99,3902,0.093285,0.287812,0.046118
99,3903,0.104934,0.315159,0.043605
99,3904,0.188241,0.45504,0.177874
99,3913,0.159121,0.383293,0.05038
99,3917,0.143672,0.373942,0.055687
99,3918,0.070331,0.266831,0.038738
99,7592,0.163118,0.370885,1.022949
99,9910,0.220736,0.495434,1.631912
99,9946,0.035181,0.095666,0.07026
99,9952,0.228353,0.481693,0.110741
99,9957,0.145024,0.36688,0.055495
99,9960,0.331928,0.860846,0.159919
99,9964,0.119881,0.376884,0.143051
99,9971,0.293192,0.543222,0.021446
99,9976,0.435769,0.68322,0.149183
99,9977,0.075091,0.194767,1.004783
99,9978,0.062746,0.238857,0.100138
99,9981,0.049074,0.202756,0.215229
99,9985,0.529748,1.486097,0.130076
99,10093,0.031347,0.068985,0.061613
99,10101,0.221933,0.487454,0.050556
99,14952,0.071823,0.170925,0.226421
99,14954,0.238889,0.459018,0.037777
99,14965,0.099401,0.288152,0.711723
99,14969,0.542998,1.346519,0.250044
99,14970,0.020682,0.064331,0.700691
99,125920,0.384,0.660634,0.068109
99,125922,0.016182,0.050722,0.282188
99,146195,0.253712,0.656602,1.125095
99,146800,0.022222,0.070372,0.112406
99,146817,0.327149,1.074556,0.073469
99,146819,0.051852,0.250493,0.051587
99,146820,0.05931,0.221882,0.076357
99,146821,0.200233,0.617853,0.081611
99,146822,0.197835,0.624939,0.123507
99,146824,0.0545,0.21355,0.128456
99,146825,0.1791,0.582352,5.355513
99,167119,0.322475,0.763741,0.918867
99,167120,0.477616,0.691714,1.489919
99,167121,0.43062,1.668931,26.101632
99,167124,0.600167,1.777472,31.964107
99,167125,0.032324,0.127537,3.672653
99,167140,0.082233,0.234268,0.185601
99,167141,0.1518,0.339708,0.098427
334,361110,0.279981,0.546235,0.534188
334,361111,0.432173,0.67563,0.123858
334,361113,0.227053,0.485376,9.053154
334,361282,0.357155,0.635084,0.987409
334,361283,0.324443,0.613241,0.167739
334,361285,0.304173,0.592646,1.832196
334,361286,0.333061,0.615445,0.1257
337,361055,0.370588,0.638807,0.216224
337,361060,0.297552,0.55493,0.451307
337,361061,0.382417,0.653203,10.115603
337,361062,0.168815,0.342874,0.20129
337,361063,0.194321,0.455076,0.249391
337,361065,0.231609,0.499938,0.23945
337,361066,0.263471,0.527107,0.200336
337,361068,0.106948,0.265597,1.173793
337,361069,0.365644,0.640783,39.136097
337,361070,0.442426,0.680734,0.09847
337,361273,0.399803,0.665208,0.86775
337,361274,0.271883,0.539523,1.046081
337,361275,0.326176,0.613616,0.199302
337,361276,0.243147,0.526156,0.133248
337,361277,0.182369,0.394751,0.440027
337,361278,0.2926,0.568327,0.175182
